pmcid,pmid,title,source_url,raw_path,text_path,processed_path,chunk_count,entity_count,relationship_count,fetch_status,extract_status,load_status,extractor_model,status,error
PMC3572442,,Hyperlipidemia as a Risk Factor for Cardiovascular Disease,https://pmc.ncbi.nlm.nih.gov/articles/PMC3572442/,data/source_documents/pmc_noninst_v001/raw/PMC3572442.json,data/source_documents/pmc_noninst_v001/text/PMC3572442.txt,data/source_documents/pmc_noninst_v001/processed/PMC3572442.json,8,143,7,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC3234107,,The Role of Triglycerides in Atherosclerosis,https://pmc.ncbi.nlm.nih.gov/articles/PMC3234107/,data/source_documents/pmc_noninst_v001/raw/PMC3234107.json,data/source_documents/pmc_noninst_v001/text/PMC3234107.txt,data/source_documents/pmc_noninst_v001/processed/PMC3234107.json,7,110,4,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC4866746,,Triglyceride-rich lipoproteins as a causal factor for cardiovascular disease,https://pmc.ncbi.nlm.nih.gov/articles/PMC4866746/,data/source_documents/pmc_noninst_v001/raw/PMC4866746.json,data/source_documents/pmc_noninst_v001/text/PMC4866746.txt,data/source_documents/pmc_noninst_v001/processed/PMC4866746.json,11,194,4,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC4911828,,Triglyceride and cardiovascular risk: A critical appraisal,https://pmc.ncbi.nlm.nih.gov/articles/PMC4911828/,data/source_documents/pmc_noninst_v001/raw/PMC4911828.json,data/source_documents/pmc_noninst_v001/text/PMC4911828.txt,data/source_documents/pmc_noninst_v001/processed/PMC4911828.json,6,104,3,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC4287928,,Evolving targets for lipid-modifying therapy,https://pmc.ncbi.nlm.nih.gov/articles/PMC4287928/,data/source_documents/pmc_noninst_v001/raw/PMC4287928.json,data/source_documents/pmc_noninst_v001/text/PMC4287928.txt,data/source_documents/pmc_noninst_v001/processed/PMC4287928.json,11,188,19,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC2952453,,Benefits of statin therapy and compliance in high risk cardiovascular patients,https://pmc.ncbi.nlm.nih.gov/articles/PMC2952453/,data/source_documents/pmc_noninst_v001/raw/PMC2952453.json,data/source_documents/pmc_noninst_v001/text/PMC2952453.txt,data/source_documents/pmc_noninst_v001/processed/PMC2952453.json,9,100,17,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC10373341,,Triglycerides and risk of cardiovascular events in statin-treated patients with newly diagnosed type 2 diabetes: a Danish cohort study,https://pmc.ncbi.nlm.nih.gov/articles/PMC10373341/,data/source_documents/pmc_noninst_v001/raw/PMC10373341.json,data/source_documents/pmc_noninst_v001/text/PMC10373341.txt,data/source_documents/pmc_noninst_v001/processed/PMC10373341.json,9,96,3,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC11107470,,The Role of Triglycerides in Atherosclerosis: Recent Pathophysiologic Insights and Therapeutic Implications,https://pmc.ncbi.nlm.nih.gov/articles/PMC11107470/,data/source_documents/pmc_noninst_v001/raw/PMC11107470.json,data/source_documents/pmc_noninst_v001/text/PMC11107470.txt,data/source_documents/pmc_noninst_v001/processed/PMC11107470.json,9,137,5,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC6201477,,"High Triglycerides Are Associated With Increased Cardiovascular Events, Medical Costs, and Resource Use: A Real‐World Administrative Claims Analysis of Statin‐Treated Patients With High Residual Cardiovascular Risk",https://pmc.ncbi.nlm.nih.gov/articles/PMC6201477/,data/source_documents/pmc_noninst_v001/raw/PMC6201477.json,data/source_documents/pmc_noninst_v001/text/PMC6201477.txt,data/source_documents/pmc_noninst_v001/processed/PMC6201477.json,9,95,4,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC7492406,,The Association between Triglycerides and Incident Cardiovascular Disease: What Is “Optimal”?,https://pmc.ncbi.nlm.nih.gov/articles/PMC7492406/,data/source_documents/pmc_noninst_v001/raw/PMC7492406.json,data/source_documents/pmc_noninst_v001/text/PMC7492406.txt,data/source_documents/pmc_noninst_v001/processed/PMC7492406.json,7,63,3,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
