relationship_gold_id,document_id,chunk_id,pmid,pmcid,relationship_type,source_entity_id,source_entity_type,source_entity_text,source_normalized_name,target_entity_id,target_entity_type,target_entity_text,target_normalized_name,evidence_text,evidence_section,evidence_start_char,evidence_end_char,confidence_gold,direction_verified,explicit_or_implied,negated,speculative,annotation_decision,annotator,annotation_status,notes
silver_relationship:3796c0c155ea5e0e,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,ASSOCIATED_WITH,condition:hypertriglyceridemia,Condition,Hypertriglyceridemia,Hypertriglyceridemia,condition:atherosclerosis,Condition,Atherosclerosis,Atherosclerosis,the role of hypertriglyceridemia and its associated atherogenic lipoproteins in the pathogenesis of atherosclerosis,TITLE,787,902,0.88,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=The chunk explicitly discusses hypertriglyceridemia in the pathogenesis of atherosclerosis.
silver_relationship:daf4af47a220f533,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,ASSOCIATED_WITH,condition:type_2_diabetes_mellitus,Condition,Type 2 diabetes mellitus,Type 2 diabetes mellitus,condition:combined_dyslipidemia,Condition,Combined dyslipidemia,Combined dyslipidemia,patients with insulin resistant syndromes such as type 2 diabetes mellitus and metabolic syndrome who commonly present with combined dyslipidemia,TITLE,2747,2892,0.9,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=The evidence states that patients with type 2 diabetes mellitus commonly present with combined dyslipidemia.
silver_relationship:6ed8017730dd131f,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,ASSOCIATED_WITH,biomarker:elevated_triglycerides,Biomarker,Elevated triglycerides,Elevated triglycerides,biomarker:atherogenic_lipoproteins,Biomarker,Atherogenic lipoproteins,Atherogenic lipoproteins,High triglyceride (TG) levels are markers for several types of atherogenic lipoproteins.,TITLE,222,310,0.95,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=The evidence explicitly states that high triglyceride levels are markers for atherogenic lipoproteins.
silver_relationship:a943d99cee97c97f,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,ASSOCIATED_WITH,biomarker:chylomicron_remnants,Biomarker,Chylomicron remnants,Chylomicron remnants,condition:atherosclerosis,Condition,Atherosclerosis,Atherosclerosis,It is the resulting CM remnants that are atherogenic,TITLE,5819,5871,0.88,yes,strong_implication,no,no,include,frontier / openai / gpt-5.5,accepted,"llm_adjudication=accepted; reason=CM remnants are described as atherogenic, strongly supporting their association with atherosclerosis."
silver_relationship:e88ddb2149238f59,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,ASSOCIATED_WITH,biomarker:triglycerides,Biomarker,Triglycerides,Triglycerides,biomarker:apolipoprotein_c_iii,Biomarker,Apolipoprotein C-III,Apolipoprotein C-III,"TGs, as far as is currently known, are not directly atherogenic but represent an important biomarker of CVD risk because of their association with atherogenic remnant particles and apo C-III",TITLE,3722,3912,0.92,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,"llm_adjudication=accepted; reason=The evidence explicitly states that triglycerides are associated with apo C-III; the negation applies to direct atherogenicity, not this association."
silver_relationship:c221ebae29a82bc7,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,REDUCES,drug:statins,Drug,Statins,Statins,biomarker:low_density_lipoprotein_cholesterol,Biomarker,Low-density lipoprotein cholesterol,Low-density lipoprotein cholesterol,continuing risk despite optimal LDL-C reduction on statin monotherapy remains high,TITLE,2340,2422,0.84,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=The evidence explicitly refers to LDL-C reduction on statin monotherapy.
silver_relationship:20b6e24c30a384fc,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,ASSOCIATED_WITH,condition:metabolic_syndrome,Condition,Metabolic syndrome,Metabolic syndrome,biomarker:elevated_triglycerides,Biomarker,Elevated triglycerides,Elevated triglycerides,the prevalence of triglyceride (TG) levels above 150 mg/dL is nearly twice as high in subjects with metabolic syndrome.,TITLE,1541,1660,0.92,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=The evidence directly reports higher prevalence of elevated triglyceride levels in subjects with metabolic syndrome.
silver_relationship:0a0ddfaa71697af9,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,REDUCES,drug:statins,Drug,Statins,Statins,condition:myocardial_infarction,Condition,Myocardial infarction,Myocardial infarction,"Large-scale, randomized, prospective trials involving patients with CHD have shown that treatment with statins reduces the relative risk of cardiovascular deaths, nonfatal myocardial infarction, and stroke.",TITLE,2106,2312,0.95,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=revised; reason=The evidence states that statins reduce the relative risk of nonfatal myocardial infarction; REDUCES is more precise than PREVENTS.
silver_relationship:7c01acac61dbcc6f,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,ASSOCIATED_WITH,biomarker:very_low_density_lipoproteins,Biomarker,Very low density lipoproteins,Very low density lipoproteins,condition:atherosclerosis,Condition,Atherosclerosis,Atherosclerosis,"Several species of triglyceride-rich lipoproteins (TRLs) including VLDL and VLDL remnants, as well as CM remnants appear to promote atherogenesis independently of LDL.",TITLE,4005,4172,0.86,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,"llm_adjudication=accepted; reason=VLDL is included among lipoprotein species described as promoting atherogenesis, supporting association with atherosclerosis."
silver_relationship:4c38c973b83183f4,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,INCREASES_RISK_OF,biomarker:elevated_triglycerides,Biomarker,Elevated triglycerides,Elevated triglycerides,condition:coronary_heart_disease,Condition,Coronary heart disease,Coronary heart disease,"Although elevated low-density lipoprotein cholesterol (LDL-C) is well established as a major predictor of coronary heart disease (CHD) risk and has been the primary target for lipid-lowering strategies by the US NCEP, evidence suggests that an elevated TG level is also an independent risk factor.",TITLE,1808,2105,0.88,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,"llm_adjudication=revised; reason=The evidence characterizes elevated TG level as an independent risk factor for CHD, so INCREASES_RISK_OF is more specific than ASSOCIATED_WITH."
silver_relationship:30d10cafac538cdb,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,ASSOCIATED_WITH,biomarker:triglyceride_rich_lipoproteins,Biomarker,Triglyceride-rich lipoproteins,Triglyceride-rich lipoproteins,condition:atherosclerosis,Condition,Atherosclerosis,Atherosclerosis,"Several species of triglyceride-rich lipoproteins (TRLs) including VLDL and VLDL remnants, as well as CM remnants appear to promote atherogenesis independently of LDL.",TITLE,4005,4172,0.86,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,"llm_adjudication=accepted; reason=Triglyceride-rich lipoproteins are described as promoting atherogenesis, supporting association with atherosclerosis."
silver_relationship:5b3e806e5331a90f,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,ASSOCIATED_WITH,condition:metabolic_syndrome,Condition,Metabolic syndrome,Metabolic syndrome,condition:combined_dyslipidemia,Condition,Combined dyslipidemia,Combined dyslipidemia,patients with insulin resistant syndromes such as type 2 diabetes mellitus and metabolic syndrome who commonly present with combined dyslipidemia,TITLE,2747,2892,0.9,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=The evidence states that patients with metabolic syndrome commonly present with combined dyslipidemia.
silver_relationship:dd7e003f3ac121ef,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,ASSOCIATED_WITH,biomarker:low_density_lipoprotein_cholesterol,Biomarker,Low-density lipoprotein cholesterol,Low-density lipoprotein cholesterol,condition:coronary_heart_disease,Condition,Coronary heart disease,Coronary heart disease,elevated low-density lipoprotein cholesterol (LDL-C) is well established as a major predictor of coronary heart disease (CHD) risk,TITLE,1817,1947,0.96,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,"llm_adjudication=accepted; reason=The evidence explicitly links elevated LDL-C to prediction of CHD risk, supporting association between LDL-C and CHD."
silver_relationship:d726b042d008df1c,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,REDUCES,drug:statins,Drug,Statins,Statins,condition:cardiovascular_death,Condition,Cardiovascular death,Cardiovascular death,"Large-scale, randomized, prospective trials involving patients with CHD have shown that treatment with statins reduces the relative risk of cardiovascular deaths, nonfatal myocardial infarction, and stroke.",TITLE,2106,2312,0.95,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=revised; reason=The evidence states that statins reduce the relative risk of cardiovascular deaths; REDUCES is more precise than PREVENTS.
silver_relationship:511b376773e8915e,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,ASSOCIATED_WITH,biomarker:very_low_density_lipoprotein_remnants,Biomarker,Very low density lipoprotein remnants,Very low density lipoprotein remnants,condition:atherosclerosis,Condition,Atherosclerosis,Atherosclerosis,"Several species of triglyceride-rich lipoproteins (TRLs) including VLDL and VLDL remnants, as well as CM remnants appear to promote atherogenesis independently of LDL.",TITLE,4005,4172,0.86,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,"llm_adjudication=accepted; reason=VLDL remnants are included among lipoprotein species described as promoting atherogenesis, supporting association with atherosclerosis."
silver_relationship:b0e474f4b08d375e,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,ASSOCIATED_WITH,biomarker:triglycerides,Biomarker,Triglycerides,Triglycerides,condition:cardiovascular_disease,Condition,Cardiovascular disease,Cardiovascular disease,"TGs, as far as is currently known, are not directly atherogenic but represent an important biomarker of CVD risk",TITLE,3722,3834,0.9,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=The evidence states that TGs are an important biomarker of CVD risk; the negation only concerns direct atherogenicity.
silver_relationship:81df2c3ac7304dfc,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,ASSOCIATED_WITH,biomarker:triglycerides,Biomarker,Triglycerides,Triglycerides,biomarker:atherogenic_remnant_particles,Biomarker,Atherogenic remnant particles,Atherogenic remnant particles,"TGs, as far as is currently known, are not directly atherogenic but represent an important biomarker of CVD risk because of their association with atherogenic remnant particles and apo C-III",TITLE,3722,3912,0.92,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=The evidence explicitly states that TGs are associated with atherogenic remnant particles.
silver_relationship:d3cba760acb2fcb6,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,ASSOCIATED_WITH,condition:combined_dyslipidemia,Condition,Combined dyslipidemia,Combined dyslipidemia,condition:hypertriglyceridemia,Condition,Hypertriglyceridemia,Hypertriglyceridemia,combined dyslipidemia characterized by fasting and postprandial hypertriglyceridemia,TITLE,2871,2955,0.94,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=The evidence explicitly says combined dyslipidemia is characterized by hypertriglyceridemia.
silver_relationship:f0cf0644b1a76fa6,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,ASSOCIATED_WITH,biomarker:low_density_lipoprotein_cholesterol,Biomarker,Low-density lipoprotein cholesterol,Low-density lipoprotein cholesterol,condition:atherosclerosis,Condition,Atherosclerosis,Atherosclerosis,the critical role that LDL-C plays in atherosclerosis,TITLE,2517,2570,0.92,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=The chunk explicitly states that LDL-C plays a critical role in atherosclerosis.
silver_relationship:de10e786de2032c1,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,ASSOCIATED_WITH,condition:hypertriglyceridemia,Condition,Hypertriglyceridemia,Hypertriglyceridemia,biomarker:very_low_density_lipoproteins,Biomarker,Very low density lipoproteins,Very low density lipoproteins,hypertriglyceridemic states are associated with increased VLDL production and delayed VLDL clearance from circulation.,TITLE,4801,4919,0.93,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=The evidence explicitly states that hypertriglyceridemic states are associated with increased VLDL production and delayed VLDL clearance.
silver_relationship:a30471c4445065e1,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,ASSOCIATED_WITH,condition:combined_dyslipidemia,Condition,Combined dyslipidemia,Combined dyslipidemia,biomarker:low_high_density_lipoprotein_cholesterol,Biomarker,Low high-density lipoprotein cholesterol,Low high-density lipoprotein cholesterol,"combined dyslipidemia characterized by fasting and postprandial hypertriglyceridemia, low high-density lipoprotein cholesterol (HDL-C) levels",TITLE,2871,3012,0.94,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=The evidence explicitly lists low HDL-C levels as a characteristic of combined dyslipidemia.
silver_relationship:00cad2e88db45760,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,INCREASES_RISK_OF,condition:hypertriglyceridemia,Condition,Hypertriglyceridemia,Hypertriglyceridemia,condition:cardiovascular_disease,Condition,Cardiovascular disease,Cardiovascular disease,Hypertriglyceridemia is a prevalent risk factor for cardiovascular disease (CVD),TITLE,46,126,0.95,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,"llm_adjudication=revised; reason=The evidence explicitly calls hypertriglyceridemia a risk factor for cardiovascular disease, so INCREASES_RISK_OF is more specific than ASSOCIATED_WITH."
silver_relationship:903068a65bc0e9d9,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,REDUCES,drug:statins,Drug,Statins,Statins,condition:stroke,Condition,Stroke,Stroke,"Large-scale, randomized, prospective trials involving patients with CHD have shown that treatment with statins reduces the relative risk of cardiovascular deaths, nonfatal myocardial infarction, and stroke.",TITLE,2106,2312,0.95,yes,explicit,no,no,include,frontier / openai / gpt-5.5,accepted,llm_adjudication=revised; reason=The evidence states that statins reduce the relative risk of stroke; REDUCES is more precise than PREVENTS.
