entity_gold_id,document_id,chunk_id,pmid,pmcid,entity_id,entity_type,entity_text,normalized_name,aliases,category,mesh_id,icd10,drugbank_id,unit,normal_range,description,evidence_text,evidence_section,evidence_start_char,evidence_end_char,annotator,annotation_status,notes
silver_entity:69b1051e8257c1da,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,biomarker:apolipoprotein_c_iii,Biomarker,apolipoprotein (apo) C-III,Apolipoprotein C-III,,,,,,,,,apolipoprotein (apo) C-III,TITLE,3187,3213,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted_with_normalization; reason=The chunk explicitly mentions apolipoprotein/apo C-III; normalization removes the parenthetical abbreviation.
silver_entity:ad048938120b30cb,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,biomarker:atherogenic_lipoproteins,Biomarker,Atherogenic lipoproteins,Atherogenic lipoproteins,,,,,,,,,atherogenic lipoproteins,TITLE,285,309,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Standalone lipoprotein class explicitly mentioned as marked by high triglyceride levels.
silver_entity:5adb89b7ab1b1491,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,biomarker:atherogenic_remnant_particles,Biomarker,Atherogenic remnant particles,Atherogenic remnant particles,,,,,,,,,atherogenic remnant particles,TITLE,3869,3898,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=The chunk explicitly discusses atherogenic remnant particles as associated with CVD risk.
silver_entity:30054a854c010537,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,biomarker:chylomicron_remnants,Biomarker,CM remnants,Chylomicron remnants,,,,,,,,,CM remnants,TITLE,4107,4118,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted_with_normalization; reason=The chunk uses the defined abbreviation CM for chylomicrons; CM remnants supports the normalized concept chylomicron remnants.
silver_entity:5aca972be2468b5a,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,biomarker:elevated_triglycerides,Biomarker,High triglyceride (TG) levels,Elevated triglyceride levels,,,,,,,,,High triglyceride (TG) levels,TITLE,222,251,frontier / openai / gpt-5.5,accepted,"llm_adjudication=accepted_with_normalization; reason=The chunk explicitly refers to high TG/triglyceride levels, supporting the elevated triglyceride biomarker abnormality."
silver_entity:999195a5a158ead8,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,biomarker:low_high_density_lipoprotein_cholesterol,Biomarker,Low high-density lipoprotein cholesterol,Low high-density lipoprotein cholesterol,,,,,,,,,low high-density lipoprotein cholesterol,TITLE,2957,2997,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Explicit abnormal HDL-C-related biomarker state in the chunk.
silver_entity:53ddb5eb2bf826d5,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,biomarker:low_density_lipoprotein_cholesterol,Biomarker,Low-density lipoprotein cholesterol,Low-density lipoprotein cholesterol,,,,,,,,,low-density lipoprotein cholesterol,TITLE,393,428,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Explicitly mentioned lipid biomarker.
silver_entity:c18439cdcab13ae3,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,biomarker:triglyceride_rich_lipoproteins,Biomarker,Triglyceride-rich lipoproteins,Triglyceride-rich lipoproteins,,,,,,,,,triglyceride-rich lipoproteins,TITLE,4024,4054,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Explicitly mentioned class of lipoprotein biomarkers.
silver_entity:3d6c9f044dbf6c08,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,biomarker:triglycerides,Biomarker,Triglycerides,Triglycerides,,,,,,,,,Triglycerides,TITLE,12,25,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted; reason=Triglycerides are explicitly named in the title and discussed throughout the chunk.
silver_entity:d0d3dd114af83763,paper:PMC3234107,PMC3234107-chunk-0001,,PMC3234107,biomarker:very_low_density_lipoprotein_remnants,Biomarker,VLDL remnants,Very low density lipoprotein remnants,,,,,,,,,VLDL remnants,TITLE,4081,4094,frontier / openai / gpt-5.5,accepted,llm_adjudication=accepted_with_normalization; reason=The chunk explicitly mentions VLDL remnants; VLDL is the abbreviation for very low density lipoprotein.
