pmcid,pmid,title,source_url,raw_path,text_path,processed_path,chunk_count,entity_count,relationship_count,fetch_status,extract_status,load_status,extractor_model,status,error
PMC3572442,,Hyperlipidemia as a Risk Factor for Cardiovascular Disease,https://pmc.ncbi.nlm.nih.gov/articles/PMC3572442/,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/raw/PMC3572442.json,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/text/PMC3572442.txt,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/processed/PMC3572442.json,8,142,117,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC3234107,,The Role of Triglycerides in Atherosclerosis,https://pmc.ncbi.nlm.nih.gov/articles/PMC3234107/,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/raw/PMC3234107.json,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/text/PMC3234107.txt,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/processed/PMC3234107.json,7,109,119,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC4866746,,Triglyceride-rich lipoproteins as a causal factor for cardiovascular disease,https://pmc.ncbi.nlm.nih.gov/articles/PMC4866746/,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/raw/PMC4866746.json,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/text/PMC4866746.txt,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/processed/PMC4866746.json,11,193,307,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC4911828,,Triglyceride and cardiovascular risk: A critical appraisal,https://pmc.ncbi.nlm.nih.gov/articles/PMC4911828/,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/raw/PMC4911828.json,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/text/PMC4911828.txt,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/processed/PMC4911828.json,6,102,149,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC4287928,,Evolving targets for lipid-modifying therapy,https://pmc.ncbi.nlm.nih.gov/articles/PMC4287928/,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/raw/PMC4287928.json,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/text/PMC4287928.txt,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/processed/PMC4287928.json,11,187,158,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC2952453,,Benefits of statin therapy and compliance in high risk cardiovascular patients,https://pmc.ncbi.nlm.nih.gov/articles/PMC2952453/,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/raw/PMC2952453.json,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/text/PMC2952453.txt,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/processed/PMC2952453.json,9,99,128,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC10373341,,Triglycerides and risk of cardiovascular events in statin-treated patients with newly diagnosed type 2 diabetes: a Danish cohort study,https://pmc.ncbi.nlm.nih.gov/articles/PMC10373341/,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/raw/PMC10373341.json,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/text/PMC10373341.txt,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/processed/PMC10373341.json,9,95,243,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC11107470,,The Role of Triglycerides in Atherosclerosis: Recent Pathophysiologic Insights and Therapeutic Implications,https://pmc.ncbi.nlm.nih.gov/articles/PMC11107470/,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/raw/PMC11107470.json,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/text/PMC11107470.txt,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/processed/PMC11107470.json,9,136,95,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC6201477,,"High Triglycerides Are Associated With Increased Cardiovascular Events, Medical Costs, and Resource Use: A Real‐World Administrative Claims Analysis of Statin‐Treated Patients With High Residual Cardiovascular Risk",https://pmc.ncbi.nlm.nih.gov/articles/PMC6201477/,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/raw/PMC6201477.json,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/text/PMC6201477.txt,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/processed/PMC6201477.json,9,95,45,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC7492406,,The Association between Triglycerides and Incident Cardiovascular Disease: What Is “Optimal”?,https://pmc.ncbi.nlm.nih.gov/articles/PMC7492406/,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/raw/PMC7492406.json,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/text/PMC7492406.txt,/app/data/source_documents/ui_ingestion/ing-ca83b1894b5a/processed/PMC7492406.json,7,62,48,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
